Class,Wk,030:Date,030:Day,020:Week ,020:Day,Topic,Assign Out,Assign Due,Assign Graded,Notes,Related Files
1,1,24-Aug,Tue,25-Aug,Wed,Class Outline,,,,,"1.<a href = ""/cse5243/course_materials/prep/1_Python_Overview.ipynb"">Python Overview Notebook</a> <br>  2.<a href = ""/cse5243/course_materials/prep/1_Python_Overview.html"">Python Overview  html</a> <br>  3.<a href = ""/cse5243/course_materials/prep/1a_Exploratory_Data_analysis.ipynb"">Exploratory Data Analysis Overview Notebook </a> <br>  4.<a href = ""/cse5243/course_materials/prep/1a_Exploratory_Data_analysis.html"">Exploratory Data Analysis Overview html</a> "
2,1,26-Aug,Thu,27-Aug,Fri,Introduction to Data Mining,,,,,"1.<a href = ""https://osu.instructure.com/courses/109167/modules/items/6730331""> Chapter 1 Intro pptx </a> "
3,2,31-Aug,Tue,1-Sep,Wed,Review of Basic Probability and Statistical Concepts,,,,,"1.<a href = ""https://osu.instructure.com/courses/109167/modules/items/6730332""> Chapter 1 Intro pptx </a> "
4,2,2-Sep,Thu,3-Sep,Fri,Review of Basic Probability and Statistical Concepts,,,,,"1.<a href = ""https://osu.instructure.com/courses/109167/modules/items/6730333""> Chapter 1 Intro pptx </a> "
5,3,7-Sep,Tue,8-Sep,Wed,Data & Data Preprocessing,A1,,,Assignment 1: Data Preprocessing,
6,3,9-Sep,Thu,10-Sep,Fri,Data & Data Preprocessing,,,,,
7,4,14-Sep,Tue,15-Sep,Wed,Data & Data Preprocessing,,,,,
8,4,16-Sep,Thu,17-Sep,Fri,"Classification - Basic Classification, Decision Trees",A2,A1,,Assignment 2: Classification,
9,5,21-Sep,Tue,22-Sep,Wed,Classification - Overfitting,,,,,
10,5,23-Sep,Thu,24-Sep,Fri,Classification - Imbalanced Classes,,,,,
11,6,28-Sep,Tue,29-Sep,Wed,"Classification - KNN, Rules",,,A1,,
12,6,30-Sep,Thu,1-Oct,Fri,Classification - Bayes,,,,,
13,7,5-Oct,Tue,6-Oct,Wed,"Classification - Log Reg, SVM",,,,,
14,7,7-Oct,Thu,8-Oct,Fri,"Classification - ANN, Ensemble",,,,,
15,8,12-Oct,Tue,13-Oct,Wed,Midterm Review,,A2,,,
-,8,14-Oct,Thu,15-Oct,Fri,NO CLASS,,,,"Autumn Break 10/14,15",
16,9,19-Oct,Tue,20-Oct,Wed,Midterm Exam,,,,,
17,9,21-Oct,Thu,22-Oct,Fri,Clustering,A3,,A2,Assignment 3: Clustering (or stakeholder presentation of A2),
18,10,26-Oct,Tue,27-Oct,Wed,Clustering,,,Midterm,,
19,10,28-Oct,Thu,29-Oct,Fri,Clustering,,,,,
20,11,2-Nov,Tue,3-Nov,Wed,Clustering,,,,,
21,11,4-Nov,Thu,5-Nov,Fri,Frequent Patterns and Associations,A4,A3,,Assignment 4: Association Analysis (or Clustering),
22,12,9-Nov,Tue,10-Nov,Wed,Frequent Patterns and Associations,,,,,
-,12,11-Nov,Thu,12-Nov,Fri,"NO CLASS for 030 / Optional Class Day for 020. Happy to discuss industry, stats, etc",,,,Veterans Day 11/11,
23,13,16-Nov,Tue,17-Nov,Wed,Frequent Patterns and Associations,,,A3,,
24,13,18-Nov,Thu,19-Nov,Fri,Frequent Patterns and Associations,,,,,
25,14,23-Nov,Tue,24-Nov,Wed,Anomaly Detection,A5,A4,,Assignment 5: TBD (possibly Association Analysis),
-,14,25-Nov,Thu,26-Nov,Fri,NO CLASS,,,,"Thanksgiving 11/24,25,26",
26,15,30-Nov,Tue,1-Dec,Wed,Misc Topics,,,,,
27,15,2-Dec,Thu,3-Dec,Fri,Misc Topics,,,A4,,
28,16,7-Dec,Tue,8-Dec,Wed,Final Review,,A5,,"Last class 12/7,8",
29,17,10-Dec,Fri,13-Dec,Mon,Final Exam,,,,"030: (TOM) Friday Dec 10, 8:00am-9:45am / 020: Monday December 13th, 4 - 5:45 PM",
