Class,Wk,Date,Day,Topic,Assign Out,Assign Due,Notes,Video,Related Files
1,1,24-Aug,Wed,Class Outline,,,,"1.<a href = ""https://osu.zoom.us/rec/share/Zy-R7T1wjOG2_SggSXkP0_QH1H2BeeMilhiYWGxSn-O_rZWzEnezn5oHfEbuwh0u.KMMwGa3J21zsMgdA"">08-24-22</a> ","1.<a href = ""/cse5243/course_materials/prep/1_Python_Overview.ipynb"">Python Overview Notebook</a> <br>
2.<a href = ""/cse5243/course_materials/prep/1_Python_Overview.html"">Python Overview  html</a> <br>
3.<a href = ""/cse5243/course_materials/prep/1a_Exploratory_Data_analysis.ipynb"">Exploratory Data Analysis Overview Notebook </a> <br>
 4.<a href = ""/cse5243/course_materials/prep/1a_Exploratory_Data_analysis.html"">Exploratory Data Analysis Overview html</a>
5.<a href = ""https://www-users.cse.umn.edu/~kumar001/dmbook/appendices_2ed.pdf"">Lin Alg/Stats Reference</a>"
2,1,26-Aug,Fri,Introduction to Data Mining,,,,"1.<a href = ""https://osu.zoom.us/rec/share/UbbGHGwRA9XQ_chqvTWDXLWzHeoK8Gg0UWN27VlNUUcVHoCPBClUItmOIFBgQjHj.Yg1fcHfWzuBjpZst"">08-26-22</a> ","1.<a href = ""https://osu.instructure.com/courses/128739/modules/items/8636041"">Chapter 1 Intro</a> "
3,2,31-Aug,Wed,Review of Basic Probability and Statistical Concepts,,,"Additional Material: 1.<a href=""https://osu.instructure.com/courses/128739/files/44449870"">Bayes Theorem Alternate</a>","1.<a href = ""https://osu.zoom.us/rec/share/4tsaHIasOEakQWAnoyxoQQG4G8gE1sZs2pv6ztnJ7qCDs2HPVkXcyeEnm7BASYji.047BRHeigAnVDOnI"">08-31-22</a> ","1.<a href = ""https://osu.instructure.com/courses/128739/modules/items/8636043"">Stats Concepts Part 1</a> "
4,2,2-Sep,Fri,Review of Basic Probability and Statistical Concepts,,,,"1.<a href = ""https://osu.zoom.us/rec/share/SrG-E78OlBoK99TaBpHa5LSUGKpRr-0BYPrYN8BfOylILo3Rcl_87TlL6bdzqqTz.pW469IHE5Hk_VYS-"">08-26-22</a> ","1.<a href = ""https://osu.instructure.com/courses/128739/modules/items/8636044"">Stats Concepts Part 2</a> "
5,3,7-Sep,Wed,Data & Data Preprocessing,"A1 Released
1.<a href =  ""/cse5243/course_materials/hw/1/CSE5243_EDA_Logistic_HW_Template.ipynb"">A1 Notebook</a> <br>
 2.<a href =""/cse5243/course_materials/hw/1/diabetes_hw_data_3494.csv "">A1 Data </a>",,"1.<a href = ""/cse5243/course_materials/lecture_examples/CategoricalData&Inference.ipynb"">Logistic Regression IPython Notebook</a> <br>
2.<a href = ""/cse5243/course_materials/lecture_examples/LogisticRegressionData.csv"">Logistic Regression Data</a>","1.<a href = ""https://osu.zoom.us/rec/share/bdCh7As8sAQNX2Ze18zQfSxMDOvl7g_ggz-3-XqUC7RJ-zQM1pBanF58kbgGbo5M.av2EnrOvipvwidlP"">09-07-22</a> ","1.<a href = ""https://osu.instructure.com/courses/128739/modules/items/8636051"">Categorical Data & Inference</a> "
6,3,9-Sep,Fri,Data & Data Preprocessing,,,,"1.<a href = ""https://osu.zoom.us/rec/share/wsKt2Q9ze9_js-n3i22rj2D02v0VuUvKKRyToaPnwEywTw4kVnMZVZJ7kT_1M8LF.uI4JLYxzpiJV8Fqm"">09-09-22</a> ","1.<a href = ""https://osu.instructure.com/courses/128739/modules/items/8636048"">Chapter 2 Data</a> "
7,4,14-Sep,Wed,Data & Data Preprocessing,,,"Additional Material: <br>
 1.<a href = ""https://osu.instructure.com/courses/128739/modules/items/8636054"">Pre-Processing</a> <br>
2.<a href = ""https://osu.instructure.com/courses/128739/modules/items/8636050"">Chapter 2 Entropy</a><br>
3.<a href = ""https://colah.github.io/posts/2015-09-Visual-Information/"">Reading:Entropy & Information Theory</a>","1.<a href = ""https://osu.zoom.us/rec/share/LRI8lS4hww4o7-3U8ISpT6aUnIHiuE_HPMVA442DFNkkTcxNYceDtxM7UFgQTCT_.-n81_p1fnQgU91OC"">09-14-22</a> ","1.<a href = ""https://osu.instructure.com/courses/128739/modules/items/8636048"">Chapter 2 Data</a>  <br>
2.<a href = ""https://osu.instructure.com/courses/128739/modules/items/9023264"">Entropy - but better - PPT</a>  <br>
3.<a href = ""/cse5243/course_materials/lecture_examples/EntropyAndAllThatJazz.ipynb"">Entropy Notebook</a> "
8,4,16-Sep,Fri,"Classification - Basic Classification, Decision Trees",,A1,,"1.<a href = ""https://osu.zoom.us/rec/share/UpfjwhzX4VFVFcm2z-YptyQBPA73BTGpHlxA_2AoOtoC6o8PR261a86AK6sXaNBx.Y4PBXuu7PnykqzTi"">09-15-22</a> ","1.<a href = ""https://osu.instructure.com/courses/128739/modules/items/8636063"">Basic Classification</a>"
9,5,21-Sep,Wed,Classification - Overfitting,,,"Additional Material: <br>
1.<a href=""https://osu.instructure.com/courses/128739/modules/items/8636064"">Overfitting</a> <br>
2.<a href=""https://osu.instructure.com/courses/128739/modules/items/8636067"">p-value hacking</a>","1.<a href = ""https://osu.zoom.us/rec/share/6YXoO32vUw9pkDrc4VYJUPjBVywZj05DJL4VKoALTRRxsMEuturBqA25BmAeSI1i.GxVlTc0BpCaJ-x0c"">09-21-22</a> ","1.<a href = ""https://osu.instructure.com/courses/128739/modules/items/9038114"">Random Forest Slides</a> <br>
2.<a href = ""/cse5243/course_materials/lecture_examples/RandomForests.ipynb"">Random Forest Noteook</a> "
10,5,23-Sep,Fri,Classification - Imbalanced Classes,,,"Additional Material:<br>
1.<a href=""https://osu.instructure.com/courses/128739/modules/items/9059984"">Cost Sensitive Classification - New!</a> <br>","1.<a href = ""https://osu.zoom.us/rec/share/MKvS_OsQR6m6Y4Ad-HfSf99Nf-HkdPJX-8eCD5HpX5uQMDV7bj_0oFXGPMZakLcQ.ERQV36S9rexIzWuo"">09-23-22</a> ","1.<a href = ""https://osu.instructure.com/courses/128739/modules/items/8636069"">Imbalanced Classes</a> "
11,6,28-Sep,Wed,"Classification - KNN, Rules","A2
1.<a href = ""/cse5243/course_materials/hw/2/CSE5243 Classification HW2 Au21 V3.ipynb"">A2 Notebook</a> <br>
2.<a href =""/cse5243/course_materials/hw/2/Cleveland Data CLEANED AND TRIMMED.csv"">A2 Data </a><br>",,"Additional Material: <br>
1.<a href = ""https://osu.instructure.com/courses/128739/modules/items/8636071"">Rule Based</a><br>
2.<a href = ""/cse5243/course_materials/lecture_examples/IRIS Analysis.ipynb"">Example Analysis Notebook </a>","1.<a href = ""https://osu.zoom.us/rec/share/CwMrEb3w9W8uk0mdys38WxUuB3mMmJpARQGuwmfOcLhg7-CMOPhEyQmdl9W5uXuI.l674l2dpWYf5yvsP"">09-28-22</a> ","1.<a href = ""https://osu.instructure.com/courses/128739/modules/items/8636070"">K-Nearest Neighbors</a> "
